URN,name,type,phase,nursery_provision,sixth_form,gender,lowest_admission_age,highest_admission_age,census_date,number_of_pupils,percent_fsm,ofsted_rating,ofsted_report,compare_performance,headteacher,website,lon,lat
106167,St John Vianney School,Special schools,All through,No,Yes,Mixed,5,19,2024-01-18,119,41.3,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106167,https://www.compare-school-performance.service.gov.uk/school/106167,Aidan Moloney,www.stjohnvianneyschool.co.uk,-2.278292152005369,53.45146177422409
106283,Navigation Primary School,Local authority maintained schools,Primary,Yes,No,Mixed,3,11,2024-01-18,444,6.4,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106283,https://www.compare-school-performance.service.gov.uk/school/106283,Joanne Patterson,www.navigationprimary.com,-2.348176824998722,53.39631330758996
106284,Oldfield Brow Primary School,Local authority maintained schools,Primary,Yes,No,Mixed,3,11,2024-01-18,352,13.9,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106284,https://www.compare-school-performance.service.gov.uk/school/106284,James Cash,www.oldfield-brow.com,-2.3768918331266735,53.391938490479475
106285,Stamford Park Primary School,Local authority maintained schools,Primary,Yes,No,Mixed,3,11,2024-01-18,472,11.5,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106285,https://www.compare-school-performance.service.gov.uk/school/106285,Sarah Price,www.spprimary.org.uk,-2.3398237662389336,53.3822702017949
106288,Heyes Lane Primary School,Local authority maintained schools,Primary,Yes,No,Mixed,3,11,2024-01-18,631,16,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106288,https://www.compare-school-performance.service.gov.uk/school/106288,Sally Harkin,www.heyeslane.co.uk,-2.324264812373625,53.40609736247714
106289,Broadheath Primary School,Local authority maintained schools,Primary,Yes,No,Mixed,3,11,2024-01-18,591,16.4,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106289,https://www.compare-school-performance.service.gov.uk/school/106289,Kirsten Lyde,broadheathprimaryschool.com,-2.359975587890383,53.4044489395868
106290,Broomwood Primary School,Local authority maintained schools,Primary,Yes,No,Mixed,2,11,2024-01-18,418,36.8,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106290,https://www.compare-school-performance.service.gov.uk/school/106290,Louise Owen,http://www.broomwoodprimary.co.uk,-2.3091948363587917,53.391872462184246
106293,Well Green Primary School,Local authority maintained schools,Primary,Yes,No,Mixed,3,11,2024-01-18,235,7.5,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106293,https://www.compare-school-performance.service.gov.uk/school/106293,Kathryn Markham,http://www.wellgreenprimary.co.uk,-2.316594825670867,53.37591622954982
106294,Willows Primary School,Local authority maintained schools,Primary,Yes,No,Mixed,3,11,2024-01-18,400,3.3,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106294,https://www.compare-school-performance.service.gov.uk/school/106294,Rachel Ross,www.willowstimperley.co.uk,-2.330915069923288,53.39663208859675
106295,Cloverlea Primary School,Local authority maintained schools,Primary,Yes,No,Mixed,3,11,2024-01-18,222,5.4,Requires improvement,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106295,https://www.compare-school-performance.service.gov.uk/school/106295,C McConnell,www.cloverlea.org.uk,-2.3198327629072435,53.39077477331819
106298,Springfield Primary School,Local authority maintained schools,Primary,Yes,No,Mixed,3,11,2024-01-18,682,7.1,Outstanding,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106298,https://www.compare-school-performance.service.gov.uk/school/106298,A J Chard,www.springfieldprimarysale.co.uk,-2.3204281395203856,53.423968025024344
106299,Woodheys Primary School,Local authority maintained schools,Primary,Yes,No,Mixed,3,11,2024-01-18,467,8.1,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106299,https://www.compare-school-performance.service.gov.uk/school/106299,Jon Beisly,www.woodheysprimaryschool.co.uk,-2.345596962514379,53.41383958227008
106300,Worthington Primary School,Local authority maintained schools,Primary,Yes,No,Mixed,3,11,2024-01-18,463,15.9,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106300,https://www.compare-school-performance.service.gov.uk/school/106300,Sarah Jones,www.worthington-primary.trafford.sch.uk,-2.29459668474178,53.420547025353535
106301,Brooklands Primary School,Local authority maintained schools,Primary,Yes,No,Mixed,3,11,2024-01-18,654,3.2,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106301,https://www.compare-school-performance.service.gov.uk/school/106301,John Beith,www.brooklands.trafford.sch.uk,-2.3257337013996184,53.41328422907354
106303,Firs Primary School,Local authority maintained schools,Primary,Yes,No,Mixed,3,11,2024-01-18,594,37.6,Outstanding,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106303,https://www.compare-school-performance.service.gov.uk/school/106303,Sarah Bryan,www.firsprimary.co.uk,-2.3522759882168462,53.42283559771597
106304,Wellfield Junior School,Local authority maintained schools,Primary,No,No,Mixed,7,11,2024-01-18,256,12.5,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106304,https://www.compare-school-performance.service.gov.uk/school/106304,Steven Worrall,www.wellfieldjunior.co.uk,-2.336954725293151,53.43012461708697
106308,Moorlands Junior School,Local authority maintained schools,Primary,No,No,Mixed,7,11,2024-01-18,311,7.7,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106308,https://www.compare-school-performance.service.gov.uk/school/106308,Alison Kelly,www.moorlandsjuniorschool.com,-2.301620501646826,53.42434961677568
106312,Templemoor Infant and Nursery School,Local authority maintained schools,Primary,Yes,No,Mixed,3,7,2024-01-18,200,9.6,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106312,https://www.compare-school-performance.service.gov.uk/school/106312,Sarah Cooper,templemoorinfants.co.uk,-2.3032028664922923,53.422556884043054
106313,Wellfield Infant and Nursery School,Local authority maintained schools,Primary,Yes,No,Mixed,3,7,2024-01-18,227,7.9,Outstanding,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106313,https://www.compare-school-performance.service.gov.uk/school/106313,Cathy Graham,http://www.wellfieldinfants.com,-2.3390240546477084,53.4291659702574
